date,text,zero,query,person,psu
Mon Jun 15 16:30:14 PDT 2009,"she is a stupid woman for callin jo bros gothy!!!!  uuugh!   bitch! hehe. They look good in black, or any colour for that matter! hahaha",0,NO_QUERY,19charlotte93,2184844034
Tue Jun 02 05:46:59 PDT 2009,On the phone...trying to decipher log files over the phone ,0,NO_QUERY,beanz80,2003055181
Sun Jun 07 13:00:48 PDT 2009,He Is Soooooooooo HOT ,4,NO_QUERY,FTSJ17,2067818409
Sun Jun 07 10:35:17 PDT 2009,@trendebarbie7 just kidding...I just said that because I spoke 2 u twice and u didn't say anything...I thought we was family!! ,0,NO_QUERY,Irv25,2066473798
Mon May 18 04:03:57 PDT 2009,@chrisaffair  you guys did soo good yesterday ! loveeyouuu&lt;3,4,NO_QUERY,itsmarykeefe,1834746433
Sun May 31 07:30:14 PDT 2009,@thisgoeshere In Visayas.  #andyhurleyday,4,NO_QUERY,doombox,1980721090
Thu Jun 25 09:38:51 PDT 2009,@djceo365 I looove ledisi!! I use to have her on my missing ipod...a moment of silence please.... ,0,NO_QUERY,Beckuums,2328493200
Mon Jun 01 10:36:37 PDT 2009,relaxing and enjoying a day off work ,4,NO_QUERY,sweeneyxander,1993583390
Sat May 30 09:01:35 PDT 2009,Joined Paperback Swap yesterday and already found homes for three of my books.    http://www.paperbackswap.com,4,NO_QUERY,KulturVintage,1972332033
Wed Jun 17 16:46:22 PDT 2009,@KrisWilliams81 Don't go getting sick! ,0,NO_QUERY,DdubsCvrGrl,2214458988
Sun Jun 07 20:25:16 PDT 2009,@marisamixon I'd call it more &quot;bambi's mom&quot; more than &quot;blankie&quot;! ,4,NO_QUERY,pudgehuckaby,2072111379
Sun Jun 14 23:48:17 PDT 2009,Hmmm I guess I'll watch the third season of supernatural. On sept. first I'll finally be able to finish watching the 4th season! ,4,NO_QUERY,GuitarFreak77,2174988129
Sat May 30 15:56:10 PDT 2009,Movies tonight with all the besties  ur nvr to old to watch night at the museum ,4,NO_QUERY,tsportaholic,1975802626
Tue Jun 23 10:26:29 PDT 2009,I feel absolutly dreadful right now... ,0,NO_QUERY,BambiePatreace,2297437747
Mon May 04 00:52:32 PDT 2009,@deepbluesealove Yeah it was great to be outside without rain/snow &amp; cold air! Love the sunny days ,4,NO_QUERY,PamsLove,1694053098
Sun May 31 02:15:50 PDT 2009,Hanging out at home gonna get ready for bed soon good nite all ,4,NO_QUERY,MrsMarks,1979254365
Sat Jun 06 01:31:43 PDT 2009,off to work now ,0,NO_QUERY,richspa,2052659810
Thu Jun 25 08:56:11 PDT 2009,What is the meaning of love   pushing the one ya love aside just cause you busy . . .  I going crazy here . Fuckin sick this shit,0,NO_QUERY,sexyflory,2327907740
Mon Jun 01 11:28:32 PDT 2009,It's been a year now since he passed away  When is it going to get easier? R.I.P. Pretty Pretty,0,NO_QUERY,vvskisses,1994139616
Tue Jun 16 04:36:00 PDT 2009,"@RichardMichie Steve Hillage was in Gong, even led them after Allen left, hopefully we'll see him onstage with Gong after his spot ",4,NO_QUERY,seandillon,2191133752
Thu Jun 18 14:23:44 PDT 2009,Is sooooo bored I wanna do something..but I just dont know what yet.All my damn friends are busy or at work ,0,NO_QUERY,SwaggaLikeMe,2228401540
Mon Jun 01 00:03:52 PDT 2009,currently in the top 235 out of an original 693 players in this tourney.  $200 up for grabs!  ,4,NO_QUERY,zacksonnenberg,1989012875
Tue Jun 02 19:19:03 PDT 2009,is annoyed at my mother...xP and waiting to actually do something. and missing my friends ,0,NO_QUERY,trina786,2011628361
Sun Jun 07 01:49:33 PDT 2009,just woke up...i'm sooo tired...missing my boyfriend ,0,NO_QUERY,Disi_,2063224014
Fri Jun 05 22:16:32 PDT 2009,@darealmrsnvrson Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip ,4,NO_QUERY,tweeteradder3,2051547261
Fri Jun 19 13:51:52 PDT 2009,"Just a thought,with all the crazy FDA approved over the counter drugs why aren't antibiotics otc? I have an earache ",0,NO_QUERY,januaryd,2243759937
Sun May 31 10:05:29 PDT 2009,"@Phooto That was an appalling yolk about the eggs. Hope you don't get into a habit, or you'll get into hot water ",4,NO_QUERY,asic69,1981886001
Sat May 09 18:08:48 PDT 2009,2 more hours of work.. Tired ,0,NO_QUERY,m3l0v3sr0n,1750882626
Sun May 17 11:39:11 PDT 2009,"Got there vs a 71 card mirror! I had the windbrisk into overrun, then topdecked the wrath to take it home. 4-0 ",4,NO_QUERY,misterorange,1827886732
Sat Jun 06 05:22:03 PDT 2009,My friend just gave me scary news-sad world we live in! Stay prayed up &amp; ask God 2 cover u in the blood EACH &amp; EVERY time u venture out ,0,NO_QUERY,sweeetbutterfly,2053679832
Fri May 22 04:12:07 PDT 2009,No signs of work getting over by 6 PM today!   @fraands,0,NO_QUERY,d33pak,1881285070
Sun Jun 07 05:05:12 PDT 2009,@donniewahlberg can't get any b club stuff...it's all out of stock ,0,NO_QUERY,TweetDiane,2064059915
Sat May 30 15:21:34 PDT 2009,"@edberkley sorry bro, didn't think of it ",0,NO_QUERY,jwest27,1975533410
Tue Jun 16 06:58:12 PDT 2009,"asks, &quot;Please cast your vote on gay marriage NOW @ http://ping.fm/BODv0&quot; 'cos we're losing  Thank YOU!",0,NO_QUERY,damienlrstevens,2192391767
Tue May 26 21:11:17 PDT 2009,john is only twitterin from the shitter...and Quikcheck ,4,NO_QUERY,ohmonsieur,1932294415
Sun Apr 19 11:20:26 PDT 2009,@Matrix983 it was the same thing I was about to write ,0,NO_QUERY,Halliwellicious,1559514227
Sat Jun 06 09:24:58 PDT 2009,@mileycyrus i love u do u ever come to the netherland? my support 4 u  reply back,4,NO_QUERY,tweetysmurf,2055492316
Sat Jun 06 14:37:35 PDT 2009,I have eten the worst lasange ever!!! Now I'm sitting and watsing Matrix  Haven't seen it in a long time ,4,NO_QUERY,AnnJulie26,2058280365
Fri Jun 05 13:49:07 PDT 2009,I just walked into the server room and found a coworker staring over it sadly. I then passed him a card for @PugetSystems ,4,NO_QUERY,kersypants,2047548824
Tue Jun 02 17:38:03 PDT 2009,@Zyxst thanks  It was easy as there is no approval process in place - everybody is welcome ,4,NO_QUERY,Runewise,2010587893
Mon May 04 00:16:35 PDT 2009,Back from my MIL's house. Makes me realize how much I miss watching TV. lol. Seems like such a luxury when you don't have it.. ,0,NO_QUERY,fukataphoto,1693913543
Mon Jun 01 15:32:32 PDT 2009,I hate when my phone breaks boo  upgrade on sunday tho yay.,0,NO_QUERY,xmisslorix,1996704031
Mon May 04 05:58:57 PDT 2009,counting the minutes until I can go home ,4,NO_QUERY,Tatianausa,1695376216
Sat May 30 10:05:47 PDT 2009,@ddlovato Precious in the sight of the Lord is the death of his saints. Psalms 116:15 God bless u demi!!! ,4,NO_QUERY,hello_kittygirl,1972899592
Sun May 17 03:10:44 PDT 2009,"@Linda_Sgoluppi Thanks, but no, I didn't. Got another shot of insomnia  Hope will be able to sleep tonight...",0,NO_QUERY,stelmarie,1824842017
Fri Jun 19 19:39:55 PDT 2009,@thalita_x3 who's ? ,0,NO_QUERY,Reemiix,2247813853
Sat May 02 11:13:19 PDT 2009,HOMEEE after an awesome night and lazy morning! GOING TO RIDE ,4,NO_QUERY,kennawayne,1680239027
Sat Apr 18 21:11:17 PDT 2009,"Ugh, got a notice from 1and1 that they had a problem making my hosting account. Can't call them till Monday. ",0,NO_QUERY,Chorazin,1555955466
Sun Jun 07 08:44:26 PDT 2009,rafael nadal won the french open ,4,NO_QUERY,kattmusicmaniac,2065508224
Sat Jun 06 10:02:22 PDT 2009,Watching The Sandlot ,4,NO_QUERY,GigiGaldo,2055834383
Sat Jun 20 13:17:03 PDT 2009,watching &quot;The world trade center&quot; (the movie) Im worried it will make me cry ,0,NO_QUERY,19musicgirl96,2256774424
Sun May 31 16:30:00 PDT 2009,fibally got my Sociology project up to standard. i'm so particular with PowerPoint. but the result is one kickass presentation. ,4,NO_QUERY,KariK484,1985133053
Sat May 09 21:16:06 PDT 2009,I wish I could drive. ,0,NO_QUERY,CatieCrunkk,1752190697
